system:index,area_ha,dNBR,fire_class,fire_date_str,fire_year,nbr_post,nbr_post2,nbr_post3,nbr_pre,sensor,severity,.geo
000000000000000003b5,0.07,-9999.068068332437,소규모,2012-05-28,2012,0.06806833243720517,0.09757309169873618,0.15870213091454796,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.93618872014414,37.67231393094269]}"
000000000000000001bb,0.1,-9999.064466915484,소규모,2012-05-27,2012,0.06446691548375391,0.09816088667393387,0.17909006428828483,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.42980674765954,37.163356595803435]}"
00000000000000000258,0.1,-9999.027706780873,소규모,2012-01-11,2012,0.027706780872596558,0.13272481909544642,0.12767156944120686,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.25323280279837,37.66344923804845]}"
0000000000000000026a,0.1,-9999.01082153932,소규모,2012-02-16,2012,0.010821539318661142,0.08719992062811417,0.10210940632005296,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.98623321126696,37.44761982885956]}"
000000000000000002af,0.1,-9999.02339223755,소규모,2012-03-12,2012,0.023392237550534715,0.08602462367806299,0.13678428855569671,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.11259521691954,37.537858656878136]}"
000000000000000002dc,0.1,-9999.037977890346,소규모,2012-03-30,2012,0.037977890345404504,0.07603303152085798,0.14795088612381013,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.94395647417926,38.04308818353672]}"
000000000000000002e4,0.1,-9999.102197964456,소규모,2012-04-06,2012,0.10219796445536276,0.09339584184222265,0.11625537584513385,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.21349329421005,37.600326203535865]}"
000000000000000002f2,0.1,-9999.1530124877,소규모,2012-03-31,2012,0.15301248769996273,0.13345037079172725,0.14753586859966453,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.14501933843334,37.66642791755214]}"
0000000000000000031e,0.1,-9999.227505111741,소규모,2012-05-06,2012,0.22750511174074686,0.20438005673736334,0.14800740806874457,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.7460258966189,38.09284729219212]}"
00000000000000000324,0.1,-9999.090969976221,소규모,2012-04-09,2012,0.09096997622100379,0.09634774460475386,0.05731012069881991,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.11245006433899,37.55700603680164]}"
0000000000000000033b,0.1,-9999.056309189204,소규모,2012-04-17,2012,0.056309189204189994,0.16449045514255883,0.19055060501510251,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.418498467388,37.335651801407536]}"
0000000000000000037a,0.1,-9999.126324020146,소규모,2012-05-07,2012,0.12632402014575714,0.19210227461245677,0.12593839406024254,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.12683512433739,37.692879305001185]}"
00000000000000000381,0.1,-9999.160423042795,소규모,2012-05-07,2012,0.16042304279394845,0.1879436837102644,0.2179654279200453,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.3836639699585,37.65496802784479]}"
0000000000000000038f,0.1,-9999.095108073354,소규모,2012-05-18,2012,0.09510807335472991,0.13823854532436797,0.12683539540296213,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.63759839540329,37.50687236365774]}"
0000000000000000039f,0.1,-9999.0591042599,소규모,2012-05-26,2012,0.059104259901061634,0.11720304257990768,0.03432875841355675,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.17806573634043,37.82532798359169]}"
000000000000000003c4,0.1,-9999.062018203953,소규모,2012-05-28,2012,0.06201820395245932,0.07882726113468964,0.13655229172143746,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.956116442752,37.746709572918384]}"
