stn_id,name,lat,lon,ndvi_mean,SLTP_CD,TPGRP_TPCD,CLZN_CD_x,PRRCK_LARG,SOIL_DRNGE,LOCTN_GRDN,ALTTD_CD,WASH_CD,SLANT_TYP,EIGHT_CD,WIND_EXDGR,WTEFF_DGR,VLDTY_SLDP,KOFTR_CD,AVRG_FRAG,토양형,지형,기후대,모암대,배수,침식,경사형,사면방위,바람노출,풍화정도,수종,산사태등급,산사태위험도,RPRSN_KOFT,KOFTR_LIST,KOFTR_LI_1,CLZN_CD_y,BROAD,label_맞춤,dist_맞춤,FROR_CD,FRTP_CD,AGCLS_CD,DNST_CD,label_임상,dist_임상,label,label_name,추천수종_적지,추천수종_가능
554,미시령,38.21439,128.43713,0.5388107142857143,2.0,1.0,1.0,1.0,3.0,26.2,9.0,1.0,1.0,420.0,1.0,1.0,19.0,,0.0,갈색약건,산정,온대북부,화성암,양호,없음,상승사면,북서,노출,상,,,,,,,,,,,,,,,,,0,자연복원,,
555,화천,38.08371,127.69062,0.5934999999999998,1.0,1.0,2.0,1.0,4.0,22.3,4.0,1.0,1.0,420.0,1.0,2.0,21.0,,0.0,갈색건조,산정,온대중부,화성암,매우양호,없음,상승사면,북서,노출,중,,,,,,,,,,,,,,,,,0,자연복원,,
556,양구,38.09799,127.98527,0.5579517857142856,24.0,3.0,2.0,1.0,2.0,9.4,3.0,2.0,1.0,410.0,1.0,3.0,24.0,,0.0,약침식토양,산복,온대중부,화성암,보통,있음,상승사면,북동,노출,하,,,,,,,,,,,,,,,,,0,자연복원,,
557,기린,37.9537,128.31388,0.5266660714285715,3.0,5.0,1.0,1.0,2.0,1.5,5.0,1.0,2.0,310.0,2.0,1.0,27.0,,0.0,갈색적윤,산록,온대북부,화성암,보통,없음,평행사면,남동,보통,상,,5.0,5등급(매우낮음),,,,,,,,,,,,,,0,자연복원,,
558,팔봉,37.68614,127.70066,0.4697625000000001,2.0,7.0,2.0,3.0,3.0,11.7,2.0,1.0,1.0,420.0,1.0,2.0,23.0,,0.0,갈색약건,구릉지,온대중부,변성암,양호,없음,상승사면,북서,노출,중,,,,,,,,,,,,,,,,,0,자연복원,,
559,내면,37.77805,128.39728,0.5606285714285714,3.0,3.0,1.0,1.0,3.0,19.2,7.0,1.0,2.0,420.0,2.0,1.0,45.0,11019.0,12.0,갈색적윤,산복,온대북부,화성암,양호,없음,평행사면,북서,보통,상,잣나무,,,,,,,,,,,,,,,,0,자연복원,,
560,진부,37.64794,128.56447,0.4414714285714285,3.0,5.0,1.0,1.0,2.0,14.4,6.0,1.0,2.0,400.0,2.0,2.0,27.0,11005.0,18.0,갈색적윤,산록,온대북부,화성암,보통,없음,평행사면,북,보통,중,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
561,청일,37.58219,128.15275,0.5123589285714287,2.0,3.0,2.0,1.0,2.0,18.7,3.0,1.0,2.0,310.0,2.0,1.0,28.0,,0.0,갈색약건,산복,온대중부,화성암,보통,없음,평행사면,남동,보통,상,,,,,,,,,,,,,,,,,0,자연복원,,
563,북평,37.46356,128.6828,0.5170428571428571,2.0,3.0,2.0,2.0,2.0,29.3,8.0,1.0,1.0,320.0,2.0,2.0,24.0,11005.0,14.0,갈색약건,산복,온대중부,퇴적암,보통,없음,상승사면,남서,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
566,연곡,37.85155,128.81924,0.4378160714285712,2.0,5.0,2.0,1.0,4.0,9.8,1.0,1.0,2.0,310.0,2.0,1.0,19.0,11005.0,10.0,갈색약건,산록,온대중부,화성암,매우양호,없음,평행사면,남동,보통,상,강원소나무,,,,,,,,,,,,,,,,1,인공조림,,
573,청운,37.55821,127.71352,0.4397857142857143,1.0,1.0,2.0,3.0,3.0,20.8,3.0,1.0,2.0,310.0,1.0,3.0,21.0,,0.0,갈색건조,산정,온대중부,변성암,양호,없음,평행사면,남동,노출,하,,,,,,,,,,,,,,,,,1,인공조림,,
574,대신,37.3694,127.58711,0.3811482142857141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
579,하장,37.36684,128.9133,0.5765375000000003,11.0,3.0,1.0,2.0,2.0,25.1,8.0,2.0,2.0,420.0,2.0,2.0,17.0,11005.0,12.0,암적색약건,산복,온대북부,퇴적암,보통,있음,평행사면,북서,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
580,옥계,37.61345,129.02888,0.5481732142857144,10.0,1.0,2.0,2.0,2.0,14.2,2.0,2.0,1.0,410.0,1.0,3.0,22.0,,0.0,암적색건조,산정,온대중부,퇴적암,보통,있음,상승사면,북동,노출,하,,,,,,,,,,,,,,,,,0,자연복원,,
